St_Father_Monthly_Income,St_Date_of_Birth,AgeYearsIntTrunc,academic_year_name,class_name,section_name,St_Active_Inactive
35000.0,1999-03-03 00:00:00.000,19,March 2014 - February 2015,10th,D,A         
30000.0,1999-06-15 00:00:00.000,18,March 2014 - February 2015,10th,D,A         
20000.0,1998-09-20 00:00:00.000,19,March 2014 - February 2015,10th,D,A         
30000.0,1998-11-01 00:00:00.000,19,March 2014 - February 2015,10th,D,A         
35000.0,1998-11-18 00:00:00.000,19,March 2014 - February 2015,10th,D,A         
30000.0,2000-02-07 00:00:00.000,18,March 2014 - February 2015,10th,D,A         
30000.0,1999-04-26 00:00:00.000,18,March 2014 - February 2015,10th,D,A         
30000.0,1998-04-10 00:00:00.000,19,March 2014 - February 2015,10th,D,A         
30000.0,1998-02-01 00:00:00.000,20,March 2014 - February 2015,10th,D,A         
20000.0,1999-03-10 00:00:00.000,19,March 2014 - February 2015,10th,D,A         
37092.0,1998-11-08 00:00:00.000,19,March 2014 - February 2015,10th,D,A         
30000.0,1999-01-22 00:00:00.000,19,March 2014 - February 2015,10th,D,A         
13000.0,1999-11-03 00:00:00.000,18,March 2014 - February 2015,10th,D,A         
50000.0,1999-04-19 00:00:00.000,18,March 2015 - Fabruary 2016,10th,E,A         
25000.0,1999-04-15 00:00:00.000,18,March 2014 - February 2015,10th,E,A         
25000.0,2000-10-13 00:00:00.000,17,March 2015 - Fabruary 2016,10th,F,A         
35000.0,1999-06-28 00:00:00.000,18,March 2015 - Fabruary 2016,10th,F,A         
25000.0,2000-01-03 00:00:00.000,18,March 2015 - Fabruary 2016,10th,F,A         
50000.0,1999-06-23 00:00:00.000,18,March 2015 - Fabruary 2016,10th,F,A         
40000.0,2000-02-16 00:00:00.000,18,March 2015 - Fabruary 2016,10th,F,A         
20000.0,1999-05-30 00:00:00.000,18,March 2014 - February 2015,10th,C,A         
15000.0,1998-07-25 00:00:00.000,19,March 2014 - February 2015,10th,C,A         
30000.0,1998-07-07 00:00:00.000,19,March 2014 - February 2015,10th,C,A         
30000.0,1998-06-07 00:00:00.000,19,March 2014 - February 2015,10th,C,A         
30000.0,1997-06-24 00:00:00.000,20,March 2014 - February 2015,10th,C,A         
50000.0,1998-02-18 00:00:00.000,20,March 2014 - February 2015,10th,C,A         
90000.0,1998-04-27 00:00:00.000,19,March 2014 - February 2015,10th,C,A         
14500.0,1990-05-26 00:00:00.000,27,March 2014 - February 2015,10th,C,A         
28000.0,1997-12-15 00:00:00.000,20,March 2014 - February 2015,10th,C,A         
26000.0,1999-01-16 00:00:00.000,19,March 2014 - February 2015,10th,C,A         
15000.0,1998-08-21 00:00:00.000,19,March 2014 - February 2015,10th,C,A         
30000.0,1998-12-21 00:00:00.000,19,March 2014 - February 2015,10th,C,A         
20000.0,1999-10-13 00:00:00.000,18,March 2014 - February 2015,10th,C,A         
40000.0,1998-12-21 00:00:00.000,19,March 2014 - February 2015,10th,C,A         
25000.0,1997-11-21 00:00:00.000,20,March 2014 - February 2015,10th,C,A         
60000.0,1998-11-14 00:00:00.000,19,March 2014 - February 2015,10th,C,A         
20000.0,1998-08-04 00:00:00.000,19,March 2014 - February 2015,10th,C,A         
200000.0,1998-11-18 00:00:00.000,19,March 2014 - February 2015,10th,C,A         
30000.0,2000-04-04 00:00:00.000,18,March 2014 - February 2015,10th,C,A         
76000.0,1999-07-07 00:00:00.000,18,March 2014 - February 2015,10th,C,A         
50000.0,1999-05-27 00:00:00.000,18,March 2014 - February 2015,10th,C,A         
50000.0,1999-08-12 00:00:00.000,18,March 2014 - February 2015,10th,C,A         
22000.0,1999-03-05 00:00:00.000,19,March 2014 - February 2015,10th,C,A         
30500.0,1998-02-23 00:00:00.000,20,March 2014 - February 2015,10th,F,A         
30000.0,1998-02-21 00:00:00.000,20,March 2014 - February 2015,10th,F,A         
30000.0,1998-03-11 00:00:00.000,20,March 2014 - February 2015,10th,F,A         
20000.0,1997-12-21 00:00:00.000,20,March 2014 - February 2015,10th,F,A         
30000.0,1999-06-12 00:00:00.000,18,March 2014 - February 2015,10th,F,A         
30000.0,1998-07-24 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
18000.0,1996-12-30 00:00:00.000,21,March 2014 - February 2015,10th,F,A         
25000.0,1998-11-28 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
15000.0,1998-10-20 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
20000.0,1999-11-27 00:00:00.000,18,March 2014 - February 2015,10th,F,A         
15000.0,1999-01-27 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
30000.0,1999-05-18 00:00:00.000,18,March 2014 - February 2015,10th,F,A         
30000.0,1998-10-16 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
20000.0,1999-03-12 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
30000.0,1999-03-14 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
25000.0,1998-02-22 00:00:00.000,20,March 2014 - February 2015,10th,F,A         
35000.0,1998-11-20 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
20000.0,1999-01-09 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
20200.0,1999-10-10 00:00:00.000,18,March 2014 - February 2015,10th,F,A         
25000.0,1998-11-27 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
40000.0,1995-09-17 00:00:00.000,22,March 2013 - February 2014,10th,D,A         
20000.0,1996-11-22 00:00:00.000,21,March 2014 - February 2015,10th,B,A         
40000.0,1998-01-05 00:00:00.000,20,March 2014 - February 2015,10th,B,A         
40000.0,1999-05-16 00:00:00.000,18,March 2014 - February 2015,10th,B,A         
30000.0,1999-09-06 00:00:00.000,18,March 2014 - February 2015,10th,B,A         
19000.0,1998-12-31 00:00:00.000,19,March 2014 - February 2015,10th,B,A         
25000.0,1999-08-16 00:00:00.000,18,March 2014 - February 2015,10th,B,A         
15000.0,1998-11-19 00:00:00.000,19,March 2014 - February 2015,10th,B,A         
60000.0,1998-11-10 00:00:00.000,19,March 2014 - February 2015,10th,B,A         
22000.0,1999-02-07 00:00:00.000,19,March 2014 - February 2015,10th,D,A         
50000.0,1999-02-24 00:00:00.000,19,March 2014 - February 2015,10th,D,A         
40000.0,1999-12-12 00:00:00.000,18,March 2014 - February 2015,10th,D,A         
35000.0,1990-10-28 00:00:00.000,27,March 2014 - February 2015,10th,D,A         
20000.0,1998-11-20 00:00:00.000,19,March 2014 - February 2015,10th,B,A         
30000.0,1998-02-17 00:00:00.000,20,March 2014 - February 2015,10th,B,A         
40000.0,1999-01-23 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
25000.0,1999-06-29 00:00:00.000,18,March 2014 - February 2015,10th,A,A         
25000.0,1999-09-14 00:00:00.000,18,March 2014 - February 2015,10th,A,A         
25000.0,1999-07-07 00:00:00.000,18,March 2014 - February 2015,10th,A,A         
48000.0,2000-02-20 00:00:00.000,18,March 2014 - February 2015,10th,A,A         
15000.0,2001-01-13 00:00:00.000,17,March 2014 - February 2015,10th,A,A         
12000.0,2001-06-03 00:00:00.000,16,March 2014 - February 2015,10th,A,A         
20000.0,2000-09-23 00:00:00.000,17,March 2014 - February 2015,10th,A,A         
50000.0,1999-11-26 00:00:00.000,18,March 2014 - February 2015,10th,A,A         
50000.0,1998-07-25 00:00:00.000,19,March 2014 - February 2015,10th,A,A         
50000.0,2000-01-08 00:00:00.000,18,March 2014 - February 2015,10th,A,A         
25000.0,1999-01-16 00:00:00.000,19,March 2014 - February 2015,10th,A,A         
30000.0,2001-03-26 00:00:00.000,17,March 2014 - February 2015,10th,A,A         
25000.0,1999-04-03 00:00:00.000,19,March 2014 - February 2015,10th,A,A         
35000.0,1997-09-14 00:00:00.000,20,March 2013 - February 2014,10th,A,A         
80000.0,1998-08-08 00:00:00.000,19,March 2013 - February 2014,10th,A,A         
20000.0,1997-06-10 00:00:00.000,20,March 2013 - February 2014,10th,A,A         
100000.0,1997-01-25 00:00:00.000,21,March 2013 - February 2014,10th,A,A         
25000.0,1997-10-05 00:00:00.000,20,March 2013 - February 2014,10th,A,A         
40000.0,1999-01-11 00:00:00.000,19,March 2013 - February 2014,10th,A,A         
35000.0,1998-02-17 00:00:00.000,20,March 2013 - February 2014,10th,A,A         
25000.0,1997-06-21 00:00:00.000,20,March 2013 - February 2014,10th,A,A         
30000.0,1997-12-04 00:00:00.000,20,March 2013 - February 2014,10th,A,A         
20000.0,1997-10-07 00:00:00.000,20,March 2013 - February 2014,10th,A,A         
30000.0,1997-01-10 00:00:00.000,21,March 2013 - February 2014,10th,A,A         
30000.0,1997-09-18 00:00:00.000,20,March 2013 - February 2014,10th,A,A         
20000.0,1999-06-14 00:00:00.000,18,March 2013 - February 2014,10th,A,A         
38000.0,1997-01-05 00:00:00.000,21,March 2013 - February 2014,10th,A,A         
30000.0,1998-09-11 00:00:00.000,19,March 2013 - February 2014,10th,B,A         
20000.0,1997-08-24 00:00:00.000,20,March 2013 - February 2014,10th,B,A         
46000.0,1997-01-15 00:00:00.000,21,March 2013 - February 2014,10th,B,A         
27000.0,1998-02-05 00:00:00.000,20,March 2013 - February 2014,10th,B,A         
15000.0,1996-07-07 00:00:00.000,21,March 2013 - February 2014,10th,B,A         
15000.0,1997-09-18 00:00:00.000,20,March 2013 - February 2014,10th,B,A         
25000.0,1998-07-25 00:00:00.000,19,March 2013 - February 2014,10th,B,A         
400000.0,1996-11-03 00:00:00.000,21,March 2013 - February 2014,10th,A,A         
25000.0,1997-05-16 00:00:00.000,20,March 2013 - February 2014,10th,B,A         
40000.0,1998-07-18 00:00:00.000,19,March 2013 - February 2014,10th,B,A         
20000.0,1998-01-25 00:00:00.000,20,March 2013 - February 2014,10th,B,A         
60000.0,1998-07-10 00:00:00.000,19,March 2013 - February 2014,10th,B,A         
15000.0,1998-04-11 00:00:00.000,19,March 2013 - February 2014,10th,B,A         
60000.0,1998-08-14 00:00:00.000,19,March 2013 - February 2014,10th,B,A         
25000.0,1998-06-21 00:00:00.000,19,March 2013 - February 2014,10th,B,A         
20000.0,1996-02-03 00:00:00.000,22,March 2013 - February 2014,10th,B,A         
30000.0,1998-02-11 00:00:00.000,20,March 2013 - February 2014,10th,B,A         
20000.0,1998-12-16 00:00:00.000,19,March 2013 - February 2014,10th,B,A         
25000.0,1997-02-16 00:00:00.000,21,March 2013 - February 2014,10th,B,A         
20000.0,1996-04-10 00:00:00.000,21,March 2013 - February 2014,10th,B,A         
20000.0,1997-12-05 00:00:00.000,20,March 2013 - February 2014,10th,B,A         
30000.0,1997-09-10 00:00:00.000,20,March 2013 - February 2014,10th,C,A         
25000.0,1998-08-15 00:00:00.000,19,March 2013 - February 2014,10th,C,A         
20000.0,1998-10-08 00:00:00.000,19,March 2013 - February 2014,10th,C,A         
25000.0,1997-10-12 00:00:00.000,20,March 2013 - February 2014,10th,C,A         
30000.0,1997-07-08 00:00:00.000,20,March 2013 - February 2014,10th,C,A         
50000.0,1996-03-28 00:00:00.000,22,March 2013 - February 2014,10th,B,A         
45000.0,1997-02-22 00:00:00.000,21,March 2013 - February 2014,10th,C,A         
25000.0,1996-10-14 00:00:00.000,21,March 2013 - February 2014,10th,C,A         
100000.0,1998-07-23 00:00:00.000,19,March 2013 - February 2014,10th,C,A         
30000.0,1997-07-08 00:00:00.000,20,March 2013 - February 2014,10th,C,A         
55000.0,1998-06-21 00:00:00.000,19,March 2013 - February 2014,10th,C,A         
25000.0,1999-07-05 00:00:00.000,18,March 2013 - February 2014,10th,C,A         
34273.0,1999-04-01 00:00:00.000,19,March 2013 - February 2014,10th,C,A         
30000.0,1998-03-25 00:00:00.000,20,March 2013 - February 2014,10th,C,A         
25000.0,1998-07-27 00:00:00.000,19,March 2013 - February 2014,10th,C,A         
10000.0,1997-02-20 00:00:00.000,21,March 2013 - February 2014,10th,C,A         
30000.0,1998-10-04 00:00:00.000,19,March 2013 - February 2014,10th,C,A         
25000.0,1997-04-13 00:00:00.000,20,March 2013 - February 2014,10th,C,A         
10000.0,1997-06-28 00:00:00.000,20,March 2013 - February 2014,10th,C,A         
35000.0,1999-02-04 00:00:00.000,19,March 2013 - February 2014,10th,C,A         
15000.0,1996-10-06 00:00:00.000,21,March 2013 - February 2014,10th,E,A         
40000.0,1996-08-28 00:00:00.000,21,March 2013 - February 2014,10th,E,A         
40000.0,1997-12-05 00:00:00.000,20,March 2013 - February 2014,10th,E,A         
25000.0,1996-12-13 00:00:00.000,21,March 2013 - February 2014,10th,E,A         
90000.0,1997-12-28 00:00:00.000,20,March 2013 - February 2014,10th,E,A         
30000.0,1997-10-29 00:00:00.000,20,March 2013 - February 2014,10th,E,A         
60000.0,1997-10-10 00:00:00.000,20,March 2013 - February 2014,10th,E,A         
15000.0,1997-02-06 00:00:00.000,21,March 2013 - February 2014,10th,E,A         
20000.0,1996-08-05 00:00:00.000,21,March 2013 - February 2014,10th,E,A         
300000.0,1997-02-04 00:00:00.000,21,March 2013 - February 2014,10th,E,A         
40000.0,1998-07-22 00:00:00.000,19,March 2013 - February 2014,10th,E,A         
40000.0,1997-06-27 00:00:00.000,20,March 2013 - February 2014,10th,E,A         
25000.0,1997-01-07 00:00:00.000,21,March 2013 - February 2014,10th,E,A         
15000.0,1997-09-15 00:00:00.000,20,March 2013 - February 2014,10th,E,A         
50000.0,1998-02-15 00:00:00.000,20,March 2013 - February 2014,10th,E,A         
20000.0,1998-07-26 00:00:00.000,19,March 2013 - February 2014,10th,E,A         
25000.0,1998-11-13 00:00:00.000,19,March 2013 - February 2014,10th,E,A         
15000.0,1998-07-13 00:00:00.000,19,March 2013 - February 2014,10th,E,A         
20000.0,1997-11-07 00:00:00.000,20,March 2013 - February 2014,10th,E,A         
18000.0,1998-06-28 00:00:00.000,19,March 2013 - February 2014,10th,E,A         
20000.0,1997-08-13 00:00:00.000,20,March 2013 - February 2014,10th,E,A         
16000.0,1998-03-14 00:00:00.000,20,March 2013 - February 2014,10th,E,A         
25000.0,1998-03-08 00:00:00.000,20,March 2013 - February 2014,10th,E,A         
20000.0,1997-06-10 00:00:00.000,20,March 2013 - February 2014,10th,E,A         
20000.0,1997-11-15 00:00:00.000,20,March 2013 - February 2014,10th,E,A         
18000.0,1996-02-05 00:00:00.000,22,March 2013 - February 2014,10th,E,A         
40000.0,1998-08-14 00:00:00.000,19,March 2013 - February 2014,10th,D,A         
40000.0,1997-11-17 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
30000.0,1997-09-18 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
50000.0,1997-12-04 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
40000.0,1998-05-03 00:00:00.000,19,March 2013 - February 2014,10th,D,A         
50000.0,1997-03-11 00:00:00.000,21,March 2013 - February 2014,10th,D,A         
20000.0,1997-05-17 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
37000.0,1997-12-19 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
60000.0,1998-08-18 00:00:00.000,19,March 2013 - February 2014,10th,D,A         
25000.0,1997-12-24 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
30000.0,1990-03-30 00:00:00.000,28,March 2013 - February 2014,10th,D,A         
20000.0,1998-02-07 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
30000.0,1997-10-10 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
20000.0,2000-02-06 00:00:00.000,18,March 2013 - February 2014,10th,D,A         
50000.0,1997-12-27 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
35000.0,1997-03-19 00:00:00.000,21,March 2013 - February 2014,10th,D,A         
32000.0,1997-12-10 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
19000.0,1998-07-28 00:00:00.000,19,March 2013 - February 2014,10th,D,A         
30000.0,1998-01-10 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
35000.0,1997-10-01 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
30000.0,1997-04-01 00:00:00.000,21,March 2013 - February 2014,10th,D,A         
25000.0,1998-02-12 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
35000.0,1999-03-06 00:00:00.000,19,March 2013 - February 2014,10th,D,A         
18000.0,1998-12-23 00:00:00.000,19,March 2013 - February 2014,10th,D,A         
2500.0,1997-12-13 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
15000.0,1997-10-20 00:00:00.000,20,March 2014 - February 2015,10th,F,A         
50000.0,1998-12-12 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
10000.0,1998-02-14 00:00:00.000,20,March 2014 - February 2015,10th,A,A         
22000.0,1997-11-03 00:00:00.000,20,March 2014 - February 2015,10th,B,A         
20000.0,1997-09-19 00:00:00.000,20,March 2014 - February 2015,10th,B,A         
10000.0,1997-09-16 00:00:00.000,20,March 2014 - February 2015,10th,C,A         
65000.0,1999-07-09 00:00:00.000,18,March 2014 - February 2015,10th,C,A         
18000.0,1998-09-28 00:00:00.000,19,March 2014 - February 2015,10th,C,A         
25000.0,1998-05-20 00:00:00.000,19,March 2014 - February 2015,10th,C,A         
20000.0,1998-11-25 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
50000.0,1998-02-17 00:00:00.000,20,March 2014 - February 2015,10th,E,A         
20000.0,1999-01-16 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
25000.0,1998-07-10 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
60000.0,1999-11-01 00:00:00.000,18,March 2013 - February 2014,10th,A,A         
25000.0,1998-05-08 00:00:00.000,19,March 2013 - February 2014,10th,A,A         
30000.0,1998-09-18 00:00:00.000,19,March 2013 - February 2014,10th,A,A         
30000.0,1997-01-27 00:00:00.000,21,March 2013 - February 2014,10th,B,A         
50000.0,1998-07-10 00:00:00.000,19,March 2013 - February 2014,10th,B,A         
9000.0,1996-12-14 00:00:00.000,21,March 2013 - February 2014,10th,B,A         
20000.0,1996-10-17 00:00:00.000,21,March 2013 - February 2014,10th,B,A         
20000.0,1998-02-02 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
20000.0,1998-08-25 00:00:00.000,19,March 2013 - February 2014,10th,D,A         
40000.0,1998-12-27 00:00:00.000,19,March 2013 - February 2014,10th,D,A         
200000.0,1998-04-05 00:00:00.000,19,March 2013 - February 2014,10th,D,A         
8000.0,1998-07-18 00:00:00.000,19,March 2013 - February 2014,10th,D,A         
65000.0,1998-02-13 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
50000.0,1998-05-14 00:00:00.000,19,March 2013 - February 2014,10th,D,A         
35000.0,1997-07-13 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
23085.0,1997-11-05 00:00:00.000,20,March 2013 - February 2014,10th,E,A         
15000.0,1997-01-13 00:00:00.000,21,March 2013 - February 2014,10th,E,A         
35000.0,1998-03-14 00:00:00.000,20,March 2013 - February 2014,10th,B,A         
35000.0,2000-02-22 00:00:00.000,18,March 2014 - February 2015,10th,F,A         
30000.0,1998-02-02 00:00:00.000,20,March 2014 - February 2015,10th,F,A         
29000.0,1999-04-09 00:00:00.000,18,March 2014 - February 2015,10th,F,A         
30000.0,1998-07-20 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
25000.0,1998-11-16 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
50000.0,1998-08-23 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
20000.0,1998-12-13 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
45000.0,2000-02-14 00:00:00.000,18,March 2014 - February 2015,10th,E,A         
30000.0,1999-08-15 00:00:00.000,18,March 2014 - February 2015,10th,E,A         
40000.0,1998-08-12 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
27000.0,1999-10-09 00:00:00.000,18,March 2014 - February 2015,10th,E,A         
20000.0,1999-01-28 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
40000.0,1999-11-21 00:00:00.000,18,March 2014 - February 2015,10th,F,A         
20000.0,2000-02-22 00:00:00.000,18,March 2014 - February 2015,10th,F,A         
45000.0,2000-05-09 00:00:00.000,17,March 2014 - February 2015,10th,F,A         
50000.0,1999-04-09 00:00:00.000,18,March 2014 - February 2015,10th,F,A         
60000.0,1999-11-08 00:00:00.000,18,March 2014 - February 2015,10th,F,A         
15000.0,1998-07-08 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
30000.0,1998-11-21 00:00:00.000,19,March 2014 - February 2015,10th,F,A         
20000.0,1999-12-14 00:00:00.000,18,March 2014 - February 2015,10th,F,A         
35000.0,1999-05-31 00:00:00.000,18,March 2014 - February 2015,10th,D,A         
40000.0,1999-02-03 00:00:00.000,19,March 2014 - February 2015,10th,D,A         
40000.0,1998-09-27 00:00:00.000,19,March 2014 - February 2015,10th,D,A         
50000.0,1998-12-19 00:00:00.000,19,March 2014 - February 2015,10th,D,A         
15000.0,1999-09-12 00:00:00.000,18,March 2014 - February 2015,10th,D,A         
25000.0,1999-09-19 00:00:00.000,18,March 2014 - February 2015,10th,D,A         
40000.0,9800-09-18 00:00:00.000,-7782,March 2014 - February 2015,10th,D,A         
25000.0,1998-02-25 00:00:00.000,20,March 2013 - February 2014,10th,D,A         
30000.0,1999-02-10 00:00:00.000,19,March 2014 - February 2015,10th,A,A         
40000.0,1998-10-27 00:00:00.000,19,March 2014 - February 2015,10th,C,A         
20000.0,1999-07-07 00:00:00.000,18,March 2014 - February 2015,10th,C,A         
15000.0,1998-11-18 00:00:00.000,19,March 2014 - February 2015,10th,C,A         
35000.0,1998-12-14 00:00:00.000,19,March 2014 - February 2015,10th,C,A         
20000.0,1997-05-25 00:00:00.000,20,March 2014 - February 2015,10th,C,A         
60000.0,2000-03-09 00:00:00.000,18,March 2014 - February 2015,10th,C,A         
30000.0,2001-08-23 00:00:00.000,16,March 2014 - February 2015,10th,C,A         
15000.0,1998-11-16 00:00:00.000,19,March 2014 - February 2015,10th,B,A         
26000.0,1998-06-03 00:00:00.000,19,March 2014 - February 2015,10th,B,A         
22000.0,1998-02-06 00:00:00.000,20,March 2014 - February 2015,10th,B,A         
20000.0,1997-09-06 00:00:00.000,20,March 2014 - February 2015,10th,B,A         
20000.0,1998-02-20 00:00:00.000,20,March 2014 - February 2015,10th,B,A         
15000.0,1999-01-27 00:00:00.000,19,March 2014 - February 2015,10th,B,A         
14027.0,1998-04-01 00:00:00.000,20,March 2014 - February 2015,10th,B,A         
27000.0,1999-03-21 00:00:00.000,19,March 2014 - February 2015,10th,B,A         
25000.0,1998-10-04 00:00:00.000,19,March 2014 - February 2015,10th,B,A         
20000.0,2000-12-11 00:00:00.000,17,March 2014 - February 2015,10th,A,A         
60000.0,1999-06-25 00:00:00.000,18,March 2014 - February 2015,10th,A,A         
30000.0,1997-09-14 00:00:00.000,20,March 2014 - February 2015,10th,A,A         
20000.0,1997-07-23 00:00:00.000,20,March 2014 - February 2015,10th,B,A         
8000.0,1999-06-30 00:00:00.000,18,March 2014 - February 2015,10th,A,A         
25000.0,1998-10-24 00:00:00.000,19,March 2014 - February 2015,10th,A,A         
30000.0,1999-01-15 00:00:00.000,19,March 2014 - February 2015,10th,A,A         
30000.0,2001-09-02 00:00:00.000,16,March 2014 - February 2015,10th,A,A         
20000.0,1997-08-28 00:00:00.000,20,March 2014 - February 2015,10th,A,A         
10000.0,1997-11-16 00:00:00.000,20,March 2014 - February 2015,10th,A,A         
15000.0,1999-10-25 00:00:00.000,18,March 2014 - February 2015,10th,A,A         
30000.0,1999-08-31 00:00:00.000,18,March 2014 - February 2015,10th,A,A         
20000.0,1999-08-11 00:00:00.000,18,March 2014 - February 2015,10th,A,A         
30000.0,1999-05-25 00:00:00.000,18,March 2014 - February 2015,10th,A,A         
20000.0,1999-03-06 00:00:00.000,19,March 2014 - February 2015,10th,A,A         
20000.0,1997-07-29 00:00:00.000,20,March 2014 - February 2015,10th,A,A         
30000.0,2000-06-03 00:00:00.000,17,March 2014 - February 2015,10th,A,A         
7902.0,1999-11-29 00:00:00.000,18,March 2014 - February 2015,10th,A,A         
17000.0,1998-11-11 00:00:00.000,19,March 2014 - February 2015,10th,A,A         
25000.0,1999-09-10 00:00:00.000,18,March 2014 - February 2015,10th,A,A         
18000.0,1997-11-24 00:00:00.000,20,March 2014 - February 2015,10th,A,A         
30000.0,1998-01-11 00:00:00.000,20,March 2014 - February 2015,10th,A,A         
12000.0,1999-06-12 00:00:00.000,18,March 2014 - February 2015,10th,A,A         
15000.0,1998-02-12 00:00:00.000,20,March 2014 - February 2015,10th,C,A         
10000.0,1998-09-29 00:00:00.000,19,March 2014 - February 2015,10th,B,A         
40000.0,1999-07-23 00:00:00.000,18,March 2014 - February 2015,10th,C,A         
20000.0,1997-11-14 00:00:00.000,20,March 2014 - February 2015,10th,B,A         
26000.0,1998-06-19 00:00:00.000,19,March 2014 - February 2015,10th,A,A         
20000.0,1999-04-10 00:00:00.000,18,March 2014 - February 2015,10th,C,A         
50000.0,2007-03-17 00:00:00.000,11,March 2015 - Fabruary 2016,2nd,TULIP,A         
60000.0,2007-06-19 00:00:00.000,10,March 2015 - Fabruary 2016,2nd,TULIP,A         
15000.0,2007-11-29 00:00:00.000,10,March 2015 - Fabruary 2016,2nd,TULIP,A         
